Parent,Standard Name,Clause Number,Clause Title,Clause Description,Applicable,Applicability,Heading
2.3,DESC-ICS,2.3.1,ICS Assets Classification,"Defines and implements a classification scheme/ process for ICS assets to be used within the organization based on ICS assets criticality, value, legal and protection requirements, etc. in line with applicable laws and regulations.",Yes,Company,No
2.3,DESC-ICS,2.3.2,ICS Assets Classification,"Develops, distributes and maintains ICS classification policy and related procedures in line with applicable laws and regulations, for e.g. data classification regulations provided by the Emirate of Dubai",Yes,Company,No
2.3,DESC-ICS,2.3.3,ICS Assets Classification,"Ensures classification of ICS assets based on criticality. The organization defines criticality of the ICS assets by deriving the Availability, Integrity and Confidentiality ratings of individual ICS systems and based on the impact to the safety functionalities of the system.",Yes,Company,No
2.3,DESC-ICS,2.3.4,ICS Assets Classification,Ensures periodic asset review for enabling an update of the Asset register.,Yes,Company,No
2,DESC-ICS,2.4,ICS Assets Labeling and Handling,,Yes,Company,Yes
2.4,DESC-ICS,2.4.1,ICS Assets Labeling and Handling,"Defines and implements adequate labeling and handling controls for the ICS assets (electronic and physical); according to the requirements of each classification level, considering the handling requirements, storage procedures, distribution limitations, etc., for each ICS asset.",Yes,Company,No
2.4,DESC-ICS,2.4.2,ICS Assets Labeling and Handling,"Develops, distributes and maintains procedure for the ICS assets labeling and handling requirements.",Yes,Company,No
2,DESC-ICS,2.5,ICS Assets Labeling and Handling,,Yes,Company,Yes
2.5,DESC-ICS,2.5.1,ICS Assets Labeling and Handling,"Identifies and implements the required safety and security measures prior to the disposal of ICS assets based on their value, criticality and sensitivity. This should be applied to ICS assets that either reached the End of life or are no longer needed for operations.",Yes,Company,No
2.5,DESC-ICS,2.5.2,ICS Assets Labeling and Handling,"Develops, distributes and maintains clear procedure for the process of disposal of ICS assets, which includes irretrievably erasing all information including any code or configurations before securely physically disposing such assets.",Yes,Company,No
2,DESC-ICS,2.6,ICS Assets Responsibility,,Yes,Company,Yes
2.6,DESC-ICS,2.6.1,ICS Assets Responsibility,"Develops, distributes and maintains an acceptable use policy governing the use of ICS assets including restricting usage of personal devices in or nearICS environment.",Yes,Company,No
,DESC-ICS,3,ICS Security and Risk Management,,Yes,Company,Yes
3,DESC-ICS,3.1,Risk Assessment Methodology & Planning,,Yes,Company,Yes
3.1,DESC-ICS,3.1.1,Risk Assessment Methodology & Planning,"Develops a risk assessment methodology that aligns with the requirements of the organization’s information security program, covering the life cycle of the ICS asset (from identification till disposal).",Yes,Company,No
3.1,DESC-ICS,3.1.2,Risk Assessment Methodology & Planning,Determines a periodic plan for conducting the risk assessment across the organization's operational/production environments.,Yes,Company,No
3.1,DESC-ICS,3.1.3,Risk Assessment Methodology & Planning,Identifies the criteria of acceptable risks as part of the risk assessment methodology.,Yes,Company,No
3.1,DESC-ICS,3.1.4,Risk Assessment Methodology & Planning,"Identifies the scope of the risk assessments involving key stakeholders, around their business processes & respective critical ICS assets that will be included in the assessment.",Yes,Company,No
3.1,DESC-ICS,3.1.5,Risk Assessment Methodology & Planning,Plans and implements a periodic awareness of the risk assessment program across the organization.,Yes,Company,No
3,DESC-ICS,3.2,Risk Assessment,,Yes,Company,Yes
3.2,DESC-ICS,3.2.1,Risk Assessment,"Conducts & maintains a detailed risk assessment addressing various types of risks (E.g. Security, Health & Safety, Environmental, etc.), for the identified critical information assets, in accordance with the approved risk assessment methodology.",Yes,Company,No
3.2,DESC-ICS,3.2.2,Risk Assessment,"Analyses risks and prioritizes them based on the criticality, to set treatment plans and controls.",Yes,Company,No
3.2,DESC-ICS,3.2.3,Risk Assessment,Determines and identifies the acceptable risks in accordance with the risk assessment methodology.,Yes,Company,No
3.2,DESC-ICS,3.2.4,Risk Assessment,"Documents the risk assessment results in a risk register, which is approved officially by higher management. The risk register shall be updated on a continuous basis.",Yes,Company,No
3,DESC-ICS,3.3,Risk Treatment and Mitigation,,Yes,Company,Yes
3.3,DESC-ICS,3.3.1,Risk Treatment and Mitigation,"Selects the risk treatment plans (mitigate, avoid, transfer, etc.) for the identified risks, approved by the higher management.",Yes,Company,No
3.3,DESC-ICS,3.3.2,Risk Treatment and Mitigation,Performs and implements the mitigation controls for the risks identified.,Yes,Company,No
3.3,DESC-ICS,3.3.3,Risk Treatment and Mitigation,Reviews and monitors the implemented risk mitigation controls for effectiveness.,Yes,Company,No
3,DESC-ICS,3.4,Risk Acceptance,,Yes,Company,Yes
3.4,DESC-ICS,3.4.1,Risk Acceptance,Documents the residual non-treated risks with justifications and gets it signed off by higher management.,Yes,Company,No
,DESC-ICS,4,Incident and Problem Management,,Yes,Company,Yes
4,DESC-ICS,4.1,Incident Management Planning,,Yes,Company,Yes
4.1,DESC-ICS,4.1.1,Incident Management Planning,"Develops, distributes and maintains a documented policy and procedure for the management and handling of ICS security incidents.",Yes,Company,No
4.1,DESC-ICS,4.1.2,Incident Management Planning,"Establishes a technology capability (Incident Response Team) to identify,analyse, eliminate, prevent and recover from the ICS security related incidents ranging from process IT, automation, ICS operations & maintenance across the organization.",Yes,Company,No
4.1,DESC-ICS,4.1.3,Incident Management Planning,Performs regular (quarterly) exercises with the Incident Response Team to exercise & execute effective handling of ICS security incidents.,Yes,Company,No
4.1,DESC-ICS,4.1.4,Incident Management Planning,"Develop mechanisms to detect, analyze, contain, eradicate and recover from ICS Cybersecurity incidents.",Yes,Company,No
4.1,DESC-ICS,4.1.5,Incident Management Planning,"Performs classification, as per a documented classification scheme, of various types of ICS Incidents so that the potential impact and suitable mitigation approach is mapped.",Yes,Company,No
4.1,DESC-ICS,4.1.6,Incident Management Planning,"Ensures the distribution, review and approval of the Incident response plan from relevant operation teams and Stakeholders.",Yes,Company,No
4.1,DESC-ICS,4.1.7,Incident Management Planning,Perform Post-mortem or Lessons learnt activities after incidents to improve the process and ensure that control updates are communicated to the control owners.,Yes,Company,No
4,DESC-ICS,4.2,ICS Security Incident Reporting & Escalation,,Yes,Company,Yes
4.2,DESC-ICS,4.2.1,ICS Security Incident Reporting & Escalation,"Assigns responsibility to designated employees or users dealing with the organization's ICS operation and information, through appropriate means, for reporting promptly any observed or suspected ICS security incidents or weaknesses in systems or services, to the responsible organization’s team.",Yes,Company,No
4.2,DESC-ICS,4.2.2,ICS Security Incident Reporting & Escalation,Implements an escalation process for reporting ICS security incidents identified as high severity for the organization and identifies and engages external authorities for further investigation if needed for such incidents.,Yes,Company,No
4.2,DESC-ICS,4.2.3,ICS Security Incident Reporting & Escalation,Defines timelines for reporting on identified responses and enables suitable measures for ensuring adherence to defined timeline.,Yes,Company,No
4.2,DESC-ICS,4.2.4,ICS Security Incident Reporting & Escalation,"Wherever feasible, the organization adopts automated reporting mechanisms thereby enabling ease and efficiency of Incident response.",Yes,Company,No
4,DESC-ICS,4.3,Evidence Gathering,,Yes,Company,Yes
4.3,DESC-ICS,4.3.1,Evidence Gathering,Implement a process to gather and retain evidences related to any ICSsecurity incidents.,Yes,Company,No
4.3,DESC-ICS,4.3.2,Evidence Gathering,Ensure that personnel involved in incident management are trained in the correct handling of evidence.,Yes,Company,No
4,DESC-ICS,4.4,ICS Security Incidents Knowledge base,,Yes,Company,Yes
4.4,DESC-ICS,4.4.1,ICS Security Incidents Knowledge base,"Develops a knowledge base from all occurred ICS security incidents, with the focus of preventing and protecting the organization ICS assets from identified risks and related incidents, which includes details of incident types and any other relevant information.",Yes,Company,No
4.4,DESC-ICS,4.4.2,ICS Security Incidents Knowledge base,Develops a repository of current ICS security incidents that are relevant to the organization’s operations and ICS environment. Performs root cause analysis of such incidents and adopts means to assure the organization of protection from such identified risks.,Yes,Company,No
,DESC-ICS,5,Access Control,,Yes,Company,Yes
5,DESC-ICS,5.1,Access Control Management Policy/Procedure,,Yes,Company,Yes
5.1,DESC-ICS,5.1.1,Access Control Management Policy/Procedure,"Develops, distributes and maintains an access control policy that addresses all security requirements for the implementation of an effective access control for ICS assets within the ICS environment of the organization.",Yes,Company,No
5.1,DESC-ICS,5.1.2,Access Control Management Policy/Procedure,"Develops, distributes and maintains an access control procedure that provides implementation details for access control, based on role-based access control(wherever possible) to individual ICS systems and components.",Yes,Company,No
5.1,DESC-ICS,5.1.3,Access Control Management Policy/Procedure,"Ensures the ICS security access control policy clearly defines security roles, responsibilities and necessary cross-functional coordination among teams responsible for the operation, installation and maintenance of the ICS systems and components.",Yes,Company,No
5.1,DESC-ICS,5.1.4,Access Control Management Policy/Procedure,Ensures periodic review and update of the Access Control policy and procedures in accordance with dynamic risks identified in the ICS environment.,Yes,Company,No
5,DESC-ICS,5.2,Logical Access Control,,Yes,Company,Yes
5.2,DESC-ICS,5.2.1,Users Access Control,,Yes,Company,Yes
5.2.1,DESC-ICS,5.2.1.1,Users Access Control,"Defines and implements a process for ICS system user registration, de-registration, and users access privileges modification, disabling or removal, etc.",Yes,Company,No
5.2.1,DESC-ICS,5.2.1.2,Users Access Control,Provides each ICS system user with a unique identifier (user ID) for their individual business use only.,Yes,Company,No
5.2.1,DESC-ICS,5.2.1.3,Users Access Control,Implements a unified user ID standard across the organization.,Yes,Company,No
5.2.1,DESC-ICS,5.2.1.4,Users Access Control,Implements an authentication technique for the validation of claimed identities of users regarding access being on-site and remote.,Yes,Company,No
5.2.1,DESC-ICS,5.2.1.5,Users Access Control,"Develops, distributes and maintains appropriate authentication policy specific to the ICS environment (e.g. a password management policy that clearly addresses the password allocation process, ICS system users’ responsibilities on passwords use and the recommended password structure, etc.). ",Yes,Company,No
5.2.1,DESC-ICS,5.2.1.6,Users Access Control,Identifies the categories of ICS system users requiring regular and special privileges by ensuring the availability of the following:,Yes,Company,No
5.2.1.6,DESC-ICS,5.2.1.6.a,Users Access Control,A valid and approved access authorization.,Yes,Company,No
5.2.1.6,DESC-ICS,5.2.1.6.b,Users Access Control,Other attributes as required by the organization or associated missions/ business functions.,Yes,Company,No
5.2.1.6,DESC-ICS,5.2.1.6.c,Users Access Control,Utilization of access accounts with special privileges must be restricted for their intended purpose and only within the intended ICS systems and components.,Yes,Company,No
5.2.1,DESC-ICS,5.2.1.7,Users Access Control,Performs a periodic review of ICS users having privileged access rights on the ICS systems to ensure that the access privileges are commensurate with their job responsibilities.,Yes,Company,No
5.2.1,DESC-ICS,5.2.1.8,Users Access Control,Limits the number of special/high privileged user IDs to those individuals who absolutely must have such privileges for authorized business purposes.,Yes,Company,No
5.2.1,DESC-ICS,5.2.1.9,Users Access Control,Implement security and independent monitoring controls over the usage of special or high privileged IDs within the ICS environment.,Yes,Company,No
5.2.1,DESC-ICS,5.2.1.10,Users Access Control,"Employs a process for review and re-authorization of user access rights on a periodic basis, as defined by the organization.",Yes,Company,No
5.2.1,DESC-ICS,5.2.1.11,Users Access Control,"Ensures usage of shared accounts within the ICS environment only for non-administrative functions such as, functioning of operator stations, operation monitoring and analysis etc. In such cases, the organization maintains a list of users with access to the shared account login and password credentials and performs periodic reviews of user activity logs.",Yes,Company,No
5.2.1,DESC-ICS,5.2.1.12,Users Access Control,"For critical operations deemed by the organization, the organization shall deploy appropriate approvals prior to execution of operation ensuring reliability and accuracy.",Yes,Company,No
5.2.1,DESC-ICS,5.2.1.13,Users Access Control,"The organization enables exceptions for control 5.2.1.12; for operations mandating instantaneous response for securing plant safety, based on higher management approvals.",Yes,Company,No
5.2.1,DESC-ICS,5.2.1.14,Users Access Control,"Wherever deemed appropriate, the organization ensures protection of Information confidentiality within the ICS environment, limiting access only to authorized users for both data at rest and in transit, using suitable methods such as encryption, compartmentalization, physical separation etc.",Yes,Company,No
5.2.1,DESC-ICS,5.2.1.15,Users Access Control,The organization explicitly defines ICS operational zone boundaries and deploys suitable protection measures for ensuring security of data traversing across zone boundaries.,Yes,Company,No
5.2,DESC-ICS,5.2.2,Network Access Control,,Yes,Company,Yes
5.2.2,DESC-ICS,5.2.2.1,Network Access Control,"Develops, distributes and maintains a policy for network access control, which covers details about accessible networks and network services, authorization process for granting network access, etc.",Yes,Company,No
5.2.2,DESC-ICS,5.2.2.2,Network Access Control,"Defines a process for authorizing, activating and terminating any network connections in the organization.",Yes,Company,No
5.2.2,DESC-ICS,5.2.2.3,Network Access Control,"Implement network access control tool/method for network equipment/devices connectivity detection, identification and authentication.",Yes,Company,No
5.2.2,DESC-ICS,5.2.2.4,Network Access Control,Remote access to the ICS systems should be restricted and granted only under circumstances where it is absolutely needed. Remote access should be granted only after approvals are obtained.,Yes,Company,No
5.2.2,DESC-ICS,5.2.2.5,Network Access Control,Implements authentication tool for remote access connections.,Yes,Company,No
5.2.2,DESC-ICS,5.2.2.6,Network Access Control,Manage and controls access to configuration ports on network equipment/ devices.,Yes,Company,No
5.2.2,DESC-ICS,5.2.2.7,Network Access Control,"Implement segregation controls on between ICS and other networks(internal, external, wireless, IP telephony, etc.).",Yes,Company,No
5.2.2,DESC-ICS,5.2.2.8,Network Access Control,Ensures deployment of Network Segmentation with restricted logical security access enabling network design simplification and isolation of network traffic within designated zones of operation.,Yes,Company,No
5.2.2,DESC-ICS,5.2.2.9,Network Access Control,Ensure the Network switches used in the ICS environment are configured with appropriate rules and the defined rule set is periodically reviewed for integrity and uniformity across the ICS environment.,Yes,Company,No
5.2.2,DESC-ICS,5.2.2.10,Network Access Control,Ensures a risk-based review of enforced security policies and traffic segregation rules on managed switches in line with necessary mitigation steps to identified risks.,Yes,Company,No
5.2.2,DESC-ICS,5.2.2.11,Network Access Control,"Enables multi-factor authentication within the ICS environment wherever applicable. In particular, connections established from External/Untrusted networks must be routed via a multi-factor authentication mechanism prior to being given access to the ICS environment.",Yes,Company,No
5.2.2,DESC-ICS,5.2.2.12,Network Access Control,Establishes network monitoring and analysis mechanisms for monitoring traffic from such untrusted network.,Yes,Company,No
5.2.2,DESC-ICS,5.2.2.13,Network Access Control,Enables remote session termination controls (Manual or automatic) such that internal users exercise the control to instantly terminate remote connections or set configurable time-slots for external users to operate within.,Yes,Company,No
5.2,DESC-ICS,5.2.3,Operating System Access Control,,Yes,Company,Yes
5.2.3,DESC-ICS,5.2.3.1,Operating System Access Control,Manages and controls the use of utility programs within the ICSenvironment.,Yes,Company,No
5.2.3,DESC-ICS,5.2.3.2,Operating System Access Control,Implements session time-out controls to prevent unauthorized access.,Yes,Company,No
5.2.3,DESC-ICS,5.2.3.3,Operating System Access Control,Implements lock-out policy.,Yes,Company,No
5.2.3,DESC-ICS,5.2.3.4,Operating System Access Control,Restricts connection times and persistent connections for critical ICSsystems and applications.,Yes,Company,No
5.2.3,DESC-ICS,5.2.3.5,Operating System Access Control,Records and continuously reviews logs of administrator system IDs.,Yes,Company,No
5.2.3,DESC-ICS,5.2.3.6,Operating System Access Control,The organization shall also enforce users to periodically change their passwords and to ascertain the use of the same password only after a certain number of times.,Yes,Company,No
5.2.3,DESC-ICS,5.2.3.7,Operating System Access Control,The organization enables a mechanism to lock user accounts post a consecutive number of unsuccessful login attempts. The users should be re-enabled access only upon having prior procedures in check.,Yes,Company,No
5.2,DESC-ICS,5.2.4,Remote Access Security,,Yes,Company,Yes
5.2.4,DESC-ICS,5.2.4.1,Remote Access Security,"Develops, distributes and maintains an ICS remote access security policy addressing remote access to the organization’s resources (remote access should be allowed only for exceptional cases based on business requirement).",Yes,Company,No
5.2.4,DESC-ICS,5.2.4.2,Remote Access Security,Enforces authorization prior to remote access connections to the ICSsystems/components.,Yes,Company,No
5.2.4,DESC-ICS,5.2.4.3,Remote Access Security,"Ensures that adequate security controls are implemented on the end point machines, such as authentication, encryption, antivirus software, personal firewalls, session timeout, content filtering etc.",Yes,Company,No
5.2.4,DESC-ICS,5.2.4.4,Remote Access Security,"Provides remote access users with access to the services, which the users are specifically authorized to use.",Yes,Company,No
5.2.4,DESC-ICS,5.2.4.5,Remote Access Security,Monitors and periodically reviews the remote access connections logs.,Yes,Company,No
5.2.4,DESC-ICS,5.2.4.6,Remote Access Security,Enables multi-factor authentication for users connecting to the ICSenvironment from remote locations.,Yes,Company,No
5.2.4,DESC-ICS,5.2.4.7,Remote Access Security,"Wherever feasible, deploys bi-directional authentication for remote connections to enable stronger security control.",Yes,Company,No
5.2.4,DESC-ICS,5.2.4.8,Remote Access Security,Ensures remote connections are enabled only to systems that require to be accessed remotely by users.,Yes,Company,No
5.2.4,DESC-ICS,5.2.4.9,Remote Access Security,BYOD (bring your own device/personal devices) should not be allowed within ICS environment.,Yes,Company,No
5.2,DESC-ICS,5.2.5,Wireless Access Management,,Yes,Company,Yes
5.2.5,DESC-ICS,5.2.5.1,Wireless Access Management,"Develops, distributes and maintains a documented policy on the wireless network usage within ICS environment.",Yes,Company,No
5.2.5,DESC-ICS,5.2.5.2,Wireless Access Management,Authorizes the wireless access to the ICS network prior to any connection.,Yes,Company,No
5.2.5,DESC-ICS,5.2.5.3,Wireless Access Management,Implement authentication control for the wireless access.,Yes,Company,No
5.2.5,DESC-ICS,5.2.5.4,Wireless Access Management,Enforce security control for wireless connections to the  network and establishes usage restrictions and implementation guidance for such use.,Yes,Company,No
5.2.5,DESC-ICS,5.2.5.5,Wireless Access Management,Provides wireless connection users with access to services that they have been specifically authorized to use.,Yes,Company,No
5.2.5,DESC-ICS,5.2.5.6,Wireless Access Management,Monitors continuously for any unauthorized wireless access to the network.,Yes,Company,No
5.2.5,DESC-ICS,5.2.5.7,Wireless Access Management,Deploys mechanisms to ensure unique identification and authentication of all users over wireless communication networks.,Yes,Company,No
5.2.5,DESC-ICS,5.2.5.8,Wireless Access Management,"Enforces wireless use restrictions, monitoring mechanisms and authentication controls for wireless utility to the ICS environment.",Yes,Company,No
5.2.5,DESC-ICS,5.2.5.9,Wireless Access Management,Enables mechanisms to identify unauthorized users within the ICSenvironment and adopts suitable reporting mechanisms to prompt timely action.,Yes,Company,No
5,DESC-ICS,5.3,Physical Access Control,,Yes,Company,Yes
5.3,DESC-ICS,5.3.1,Physical Access Policy and Procedure,,Yes,Company,Yes
5.3.1,DESC-ICS,5.3.1.1,Physical Access Policy and Procedure,"Develops, distributes and maintains a documented physical access policy that addresses the organization’s requirements for implementing physical access controls on control rooms, maintenance rooms, engineering environments etc.",Yes,Company,No
5.3.1,DESC-ICS,5.3.1.2,Physical Access Policy and Procedure,"Supplements, as necessary, the physical access policy with a detailed procedure on how to implement the protection controls and provides users with complete specification on physical security safeguards to be deployed within the ICS environment.",Yes,Company,No
5.3.1,DESC-ICS,5.3.1.3,Physical Access Policy and Procedure,Enforces authorization prior to physical access to any facilities with ICSsystems.,Yes,Company,No
5.3,DESC-ICS,5.3.2,Physical Security Controls,,Yes,Company,Yes
5.3.2,DESC-ICS,5.3.2.1,Physical Security Controls,Enforces appropriate physical access control perimeters for all physical access points to the organization.,Yes,Company,No
5.3.2,DESC-ICS,5.3.2.2,Physical Security Controls,Verifies and ensures that only authorized employees are provided access to protected areas.,Yes,Company,No
5.3.2,DESC-ICS,5.3.2.3,Physical Security Controls,Controls entry to ICS facility using physical access control devices.,Yes,Company,No
5.3.2,DESC-ICS,5.3.2.4,Physical Security Controls,Controls and monitors physical access to the ICS and nearby environment.,Yes,Company,No
5.3.2,DESC-ICS,5.3.2.5,Physical Security Controls,Safeguards and enforces adequate protection controls on systems that manage physical access.,Yes,Company,No
5.3.2,DESC-ICS,5.3.2.6,Physical Security Controls,Organization reviews logs of physical access on a regular basis.,Yes,Company,No
5.3.2,DESC-ICS,5.3.2.7,Physical Security Controls,Deploys mechanism to monitor the movement of employees & nonemployees within the organization.,Yes,Company,No
5.3.2,DESC-ICS,5.3.2.8,Physical Security Controls,The organization deploys appropriate power backup solutions to ensure continued operation of the ICS environment within the defined secure state of operation.,Yes,Company,No
5,DESC-ICS,5.4,External Party Access Control,,Yes,Company,Yes
5.4,DESC-ICS,5.4.1,External Party Access Control,Enforces authorization prior to logical or physical access required by external party through deploying a «need to know» criteria.,Yes,Company,No
5.4,DESC-ICS,5.4.2,External Party Access Control,Monitors and logs logical or physical access provided to public or external party.,Yes,Company,No
5.4,DESC-ICS,5.4.3,External Party Access Control,"Controls physical access to any areas that include ICS systems and other areas such as delivery, loading, or any other points where unauthorized personnel may enter by authenticating visitors before authorizing access.",Yes,Company,No
5.4,DESC-ICS,5.4.4,External Party Access Control,"Authorizes, monitors and controls entering and exiting the ICS facilities or any other public areas and maintains such records.",Yes,Company,No
5.4,DESC-ICS,5.4.5,External Party Access Control,Sets physical access protection and control mechanisms on all external parties or outsourced individuals and hold them liable for any violation or compromising the organization’s ICS security policy.,Yes,Company,No
5,DESC-ICS,5.5,External Party Access Control,,Yes,Company,Yes
5.5,DESC-ICS,5.5.1,External Party Access Control,Implements audit trails in ICS systems as per requirement.,Yes,Company,No
5.5,DESC-ICS,5.5.2,External Party Access Control,maintains and periodically reviews logical and physical access control lists enabled within the ICS environment,Yes,Company,No
,DESC-ICS,6,"Operation, Systems and Communication Management",,Yes,Company,Yes
6,DESC-ICS,6.1,Access Control Management Policy/Procedure,,Yes,Company,Yes
6.1,DESC-ICS,6.1.1,Technology and operations Capacity Management,,Yes,Company,Yes
6.1.1,DESC-ICS,6.1.1.1,Technology and operations Capacity Management,"Ensures advanced planning for availability of adequate capacity and resources for the Industrial controls systems (including support systems such cybersecurity technologies) and their technology components, in line with applicable regulations.",Yes,Company,No
6.1.1,DESC-ICS,6.1.1.2,Technology and operations Capacity Management,"Conducts an annual projection review of capacity requirements and resources for the Industrial operation systems and their technology components, integrating business requirements, or immediately upon a significant change to existing system.",Yes,Company,No
6.1.1,DESC-ICS,6.1.1.3,Technology and operations Capacity Management,"The automation systems security design and controls should aide in prevention of exhaustion of system resources, especially by less critical and low priority applications or software.",Yes,Company,No
6.1.1,DESC-ICS,6.1.1.4,Technology and operations Capacity Management,Enables mechanisms for continuously monitoring the software utility of key system resources such that the organization can ensure adherence to control no. 6.1.1.3 in a manner preventing shortage of resources.,Yes,Company,No
6.1,DESC-ICS,6.1.2,Documentation of Operational Procedures,,Yes,Company,Yes
6.1.2,DESC-ICS,6.1.2.1,Documentation of Operational Procedures,"Develops and maintains a complete set of operating procedures documentations of all Industrial operation systems detailing inputs, outputs and dependencies.",Yes,Company,No
6.1.2,DESC-ICS,6.1.2.2,Documentation of Operational Procedures,Documents and maintains up to date baseline configurations manuals of all ICS operating and engineering systems including an inventory of constituent system components. The baselines should also include cybersecurity configurations.,Yes,Company,No
6.1.2,DESC-ICS,6.1.2.3,Documentation of Operational Procedures,Only authorized personnel should have access to the baseline configurations. Any changes to the baselines should be logged and reviewed.,Yes,Company,No
6.1.2,DESC-ICS,6.1.2.4,Documentation of Operational Procedures,Enables adequate approval mechanisms involving necessary stakeholders prior to deploying changes to the ICS Operational procedures.,Yes,Company,No
6.1,DESC-ICS,6.1.3,Change Management,,Yes,Company,Yes
6.1.3,DESC-ICS,6.1.3.1,Change Management,"Develops, distributes and maintains a documented change management policy that defines the overall change management process employed by the organization for ICS environment, outlining roles and responsibilities.",Yes,Company,No
6.1.3,DESC-ICS,6.1.3.2,Change Management,"Supplements, as necessary, the change management policy with a detailed procedure to facilitate the implementation of the change and configuration management process and provide guidelines for all users.",Yes,Company,No
6.1.3,DESC-ICS,6.1.3.3,Change Management,"Implements a change management process that must include the following details, as a minimum:",Yes,Company,No
6.1.3.3,DESC-ICS,6.1.3.3.a,Change Management,Description of required change.,Yes,Company,No
6.1.3.3,DESC-ICS,6.1.3.3.b,Change Management,Testing and implementation plans for the change.,Yes,Company,No
6.1.3.3,DESC-ICS,6.1.3.3.c,Change Management,Risk assessment of the change impact.,Yes,Company,No
6.1.3.3,DESC-ICS,6.1.3.3.d,Change Management,Official authorization of the change and the communication process for all stakeholders,Yes,Company,No
6.1.3.3,DESC-ICS,6.1.3.3.e,Change Management,Rollback process for recovery of unsuccessful changes.,Yes,Company,No
6.1.3.3,DESC-ICS,6.1.3.3.f,Change Management,Approved maintenance windows during which the change will be implemented,Yes,Company,No
6.1.3,DESC-ICS,6.1.3.4,Change Management,"Incorporates health and safety reviews for all significant changes. Thereby ensuring, continued security and safety of ICS systems.",Yes,Company,No
6.1.3,DESC-ICS,6.1.3.5,Change Management,"Whenever applicable, the organization ensures performance of a change impact analysis to derive potential impact to the ICS prior to deployment of changes.",Yes,Company,No
6.1.3,DESC-ICS,6.1.3.6,Change Management,Ensures separation of change responsibilities to employees ensuring no overlap of duties.,Yes,Company,No
6.1.3,DESC-ICS,6.1.3.7,Change Management,Integrates ICS cybersecurity change management procedures with overall ICS change management procedures to enable integration of Cybersecurity within regular operation of the ICS systems and components.,Yes,Company,No
6.1.3,DESC-ICS,6.1.3.8,Change Management,"Maintains historical record of all changes being carried out within the ICS, recording necessary information to identify the change, date of change, purpose of change, responsible owner and other necessary information deemed appropriate by the organization.",Yes,Company,No
6.1,DESC-ICS,6.1.4,Configuration Management,,Yes,Company,Yes
6.1.4,DESC-ICS,6.1.4.1,Configuration Management,"Develops and distributes a configuration Management policy enabling the organization to establish baseline configuration requirements, manage configuration changes and define cross-functional responsibilities necessary for the management of ICS Systems/Components configuration.",Yes,Company,No
6.1.4,DESC-ICS,6.1.4.2,Configuration Management,"Implements procedures for management, monitoring and documentation of configuration changes made to the ICS systems such as PLCs, DCS,HMIs, SCADA clients and servers, Operator stations and any other supporting ICS equipment and applications.",Yes,Company,No
6.1.4,DESC-ICS,6.1.4.3,Configuration Management,Enables access restrictions to ICS system configuration settings and performs periodic reviews to ascertain provision of access to necessary users.,Yes,Company,No
6.1.4,DESC-ICS,6.1.4.4,Configuration Management,Assessment should be performed to determine the change in cybersecurity risk level due to configuration changes applied on ICS systems.,Yes,Company,No
